County,City,School_district,Ranking,Grade
Sacramento,Carmichael,San Juan Unified School District,187,B
San Bernardino,Yucaipa,Yucaipa-Calimesa Joint Unified School District,188,B
Marin,San Rafael,San Rafael City High School District,189,B
Sacramento,Antelope,Center Joint Unified School District,190,B
Kings,Lemoore,Lemoore Union High School District,191,B
Humboldt,Fortuna,Fortuna Union High School District,192,B
Kern,Wasco,Wasco Union High School District,193,B
Contra Costa,Concord,Mt. Diablo Unified School District,194,B
Imperial,El Centro,Central Union High School District,195,B
San Bernardino,Big Bear Lake,Bear Valley Unified School District,196,B
Trinity,Weaverville,Trinity Alps Unified School District,197,B
Siskiyou,Dunsmuir,Dunsmuir Joint Union High School District,198,B
Fresno,Fowler,Fowler Unified School District,199,B
Sacramento,Sacramento,Natomas Unified School District,200,B
Kern,Bakersfield,Kern High School District,201,B
Mendocino,Leggett,Leggett Valley Unified School District,202,B
Los Angeles,Bellflower,Bellflower Unified School District,203,B
Tehama,Cottonwood,Evergreen Union School District,204,B
San Bernardino,Apple Valley,Apple Valley Unified School District,205,B
San Mateo,Daly City,Jefferson Union High School District,206,B
San Diego,Oceanside,Oceanside Unified School District,207,B
San Benito,Hollister,San Benito County Office of Education,208,B
Lake,Lakeport,Lakeport Unified School District,209,B
Tulare,Visalia,Visalia Unified School District,210,B
El Dorado,South Lake Tahoe,Lake Tahoe Unified School District,211,B
San Joaquin,Tracy,Tracy Joint Unified School District,212,B
Kings,Hanford,Hanford Joint Union High School District,213,B
Los Angeles,Acton,Acton-Agua Dulce Unified School District,214,B
San Joaquin,Escalon,Escalon Unified School District,215,B
Tulare,Porterville,Porterville Unified School District,216,B
Madera,Oakhurst,Yosemite Unified School District,217,B
Lake,Middletown,Middletown Unified School District,218,B
Kern,Taft,Taft Union High School District,219,B
Stanislaus,Hughson,Hughson Unified School District,220,B
Butte,Gridley,Gridley Unified School District,221,B
San Bernardino,Phelan,Snowline Joint Unified School District,222,B
Santa Clara,Gilroy,Gilroy Unified School District,223,B
Fresno,Riverdale,Riverdale Joint Unified School District,224,B
Los Angeles,Pasadena,Pasadena Unified School District,225,B
San Mateo,South San Francisco,South San Francisco Unified School District,226,B
San Joaquin,Lodi,Lodi Unified School District,227,B
Riverside,Nuevo,Nuview Union School District,228,B
Riverside,Palm Springs,Palm Springs Unified School District,229,B
Yolo,West Sacramento,Washington Unified School District,230,B
Sutter,Yuba City,Yuba City Unified School District,231,B
San Bernardino,Daggett,Silver Valley Unified School District,232,B
Mariposa,Mariposa,Mariposa County Unified School District,233,B
Merced,Hilmar,Hilmar Unified School District,234,B
Orange,Anaheim,Anaheim Union High School District,235,B
Riverside,Beaumont,Beaumont Unified School District,236,B
Tehama,Corning,Corning Union High School District,NaN,B-
Sonoma,Geyserville,Geyserville Unified School District,NaN,B-
Santa Barbara,Santa Maria,Santa Maria Joint Union High School District,NaN,B-
San Bernardino,Hesperia,Hesperia Unified School District,NaN,B-
Humboldt,Petrolia,Mattole Unified School District,NaN,B-
Tehama,Los Molinos,Los Molinos Unified School District,NaN,B-
Mendocino,Fort Bragg,Fort Bragg Unified School District,NaN,B-
San Benito,Hollister,San Benito High School District,NaN,B-
San Diego,Ramona,Ramona City Unified School District,NaN,B-
Nevada,Penn Valley,Penn Valley Union Elementary School District,NaN,B-
Inyo,Bishop,Bishop Unified School District,NaN,B-
Shasta,Redding,Redding Elementary School District,NaN,B-
Los Angeles,Norwalk,Norwalk-La Mirada Unified School District,NaN,B-
San Bernardino,Helendale,Helendale Elementary School District,NaN,B-
Mendocino,Ukiah,Ukiah Unified School District,NaN,B-
Sonoma,Cloverdale,Cloverdale Unified School District,NaN,B-
Santa Clara,Morgan Hill,Morgan Hill Unified School District,NaN,B-
Riverside,Hemet,Hemet Unified School District,NaN,B-
Imperial,Brawley,Brawley Union High School District,NaN,B-
Fresno,Kerman,Kerman Unified School District,NaN,B-
San Joaquin,Linden,Linden Unified School District,NaN,B-
Tulare,Porterville,Burton Elementary School District,NaN,B-
San Mateo,Pescadero,La Honda-Pescadero Unified School District,NaN,B-
Marin,Tomales,Shoreline Unified School District,NaN,B-
Los Angeles,Lawndale,Centinela Valley Union High School District,NaN,B-
Mendocino,Boonville,Anderson Valley Unified School District,NaN,B-
San Joaquin,Manteca,Manteca Unified School District,NaN,B-
Glenn,Orland,Orland Joint Unified School District,NaN,B-
Humboldt,Ferndale,Ferndale Unified School District,NaN,B-
Sacramento,Sacramento,Sacramento City Unified School District,NaN,B-
Los Angeles,Los Angeles,Los Angeles Unified School District,NaN,B-
Sonoma,Sonoma,Sonoma Valley Unified School District,NaN,B-
Ventura,Oxnard,Oxnard Union High School District,NaN,B-
Stanislaus,Modesto,Hart-Ransom Union Elementary School District,NaN,B-
Amador,Jackson,Amador County Unified School District,NaN,B-
Monterey,Monterey,Monterey Peninsula Unified School District,NaN,B-
Los Angeles,Baldwin Park,Baldwin Park Unified School District,NaN,B-
Fresno,Caruthers,Caruthers Unified School District,NaN,B-
Merced,Le Grand,Le Grand Union High School District,NaN,B-
Glenn,Princeton,Princeton Joint Unified School District,NaN,B-
Los Angeles,Paramount,Paramount Unified School District,NaN,B-
Sonoma,Rohnert Park,Cotati-Rohnert Park Unified School District,NaN,B-
Shasta,Redding,Enterprise Elementary School District,NaN,B-
Stanislaus,Waterford,Waterford Unified School District,NaN,B-
Stanislaus,Newman,Newman-Crows Landing Unified School District,NaN,B-
Stanislaus,Keyes,Keyes Union School District,NaN,B-
Los Angeles,Duarte,Duarte Unified School District,NaN,B-
Santa Barbara,Lompoc,Lompoc Unified School District,NaN,B-
Yolo,Woodland,Woodland Joint Unified School District,NaN,B-
Inyo,Independence,Owens Valley Unified School District,NaN,B-
Yuba,Wheatland,Wheatland Union High School District,NaN,B-
Butte,Paradise,Paradise Unified School District,NaN,B-
Lake,Kelseyville,Kelseyville Unified School District,NaN,B-
Riverside,Lake Elsinore,Lake Elsinore Unified School District,NaN,B-
Riverside,Corona,Alvord Unified School District,NaN,B-
Tulare,Exeter,Exeter Unified School District,NaN,B-
San Bernardino,Fontana,Fontana Unified School District,NaN,B-
Stanislaus,Ceres,Ceres Unified School District,NaN,B-
Colusa,Maxwell,Maxwell Unified School District,NaN,B-
San Diego,Fallbrook,Fallbrook Union High School District,NaN,B-
Contra Costa,Rodeo,John Swett Unified School District,NaN,B-
Humboldt,Eureka,Eureka City Schools,NaN,B-
Kern,North Edwards,Muroc Joint Unified School District,NaN,B-
San Benito,San Juan Bautista,Aromas/San Juan Unified School District,NaN,B-
Glenn,Hamilton City,Hamilton Unified School District,NaN,B-
Shasta,Burney,Fall River Joint Unified School District,NaN,B-
Orange,Santa Ana,Santa Ana Unified School District,NaN,B-
Los Angeles,Pico Rivera,El Rancho Unified School District,NaN,B-
Butte,Oroville,Oroville Union High School District,NaN,B-
Los Angeles,Lancaster,Antelope Valley Union High School District,NaN,B-
Mendocino,Potter Valley,Potter Valley Community Unified School District,NaN,B-
Monterey,Salinas,Salinas Union High School District,NaN,B-
Fresno,Fresno,Fresno Unified School District,NaN,B-
Los Angeles,La Puente,Bassett Unified School District,NaN,B-
Merced,Los Banos,Los Banos Unified School District,NaN,C+
Riverside,Perris,Perris Union High School District,NaN,C+
Stanislaus,Denair,Denair Unified School District,NaN,C+
Alameda,San Leandro,San Leandro Unified School District,NaN,C+
Napa,Calistoga,Calistoga Joint Unified School District,NaN,C+
Lassen,Westwood,Westwood Unified School District,NaN,C+
San Bernardino,San Bernardino,San Bernardino City Unified School District,NaN,C+
El Dorado,Georgetown,Black Oak Mine Unified School District,NaN,C+
Fresno,Reedley,Kings Canyon Joint Unified School District,NaN,C+
Kern,Tehachapi,Tehachapi Unified School District,NaN,C+
Fresno,Fresno,Central Unified School District,NaN,C+
Tulare,Lindsay,Lindsay Unified School District,NaN,C+
San Bernardino,Trona,Trona Joint Unified School District,NaN,C+
San Diego,Pine Valley,Mountain Empire Unified School District,NaN,C+
Colusa,Arbuckle,Pierce Joint Unified School District,NaN,C+
Fresno,Firebaugh,Firebaugh-Las Deltas Unified School District,NaN,C+
San Bernardino,Needles,Needles Unified School District,NaN,C+
Trinity,Hayfork,Mountain Valley Unified School District,NaN,C+
Sacramento,Rio Vista,River Delta Joint Unified School District,NaN,C+
Yolo,Fresno,Washington Unified School District,NaN,C+
Alameda,Newark,Newark Unified School District,NaN,C+
Yolo,Winters,Winters Joint Unified School District,NaN,C+
Riverside,Jurupa Valley,Jurupa Unified School District,NaN,C+
Stanislaus,Riverbank,Riverbank Unified School District,NaN,C+
Humboldt,Miranda,Southern Humboldt Joint Unified School District,NaN,C+
Kern,Lebec,El Tejon Unified School District,NaN,C+
Colusa,Colusa,Colusa Unified School District,NaN,C+
Los Angeles,Pomona,Pomona Unified School District,NaN,C+
Plumas,Quincy,Plumas Unified School District,NaN,C+
Trinity,Mad River,Southern Trinity Joint Unified School District,NaN,C+
Solano,Dixon,Dixon Unified School District,NaN,C+
Tulare,Dinuba,Dinuba Unified School District,NaN,C+
Lassen,Susanville,Lassen Union High School District,NaN,C+
Sacramento,Mcclellan,Twin Rivers Unified School District,NaN,C+
Fresno,Selma,Selma Unified School District,NaN,C+
Siskiyou,Dorris,Butte Valley Unified School District,NaN,C+
Madera,Chowchilla,Chowchilla Union High School District,NaN,C+
Alameda,San Lorenzo,San Lorenzo Unified School District,NaN,C+
Lassen,Herlong,Fort Sage Unified School District,NaN,C+
Solano,Fairfield,Fairfield-Suisun Unified School District,NaN,C+
Shasta,Redding,Gateway Unified School District,NaN,C+
Modoc,Tulelake,Tulelake Basin Joint Unified School District,NaN,C+
Santa Cruz,Watsonville,Pajaro Valley Unified School District,NaN,C+
Merced,Delhi,Delhi Unified School District,NaN,C+
Tulare,Orosi,Cutler-Orosi Joint Unified School District,NaN,C+
San Bernardino,Colton,Colton Joint Unified School District,NaN,C+
Riverside,Moreno Valley,Moreno Valley Unified School District,NaN,C+
San Bernardino,Rialto,Rialto Unified School District,NaN,C+
Alameda,Fremont,California School for the Deaf-Fremont,NaN,C+
Contra Costa,Pittsburg,Pittsburg Unified School District,NaN,C+
Yuba,Marysville,Marysville Joint Unified School District,NaN,C+
Yolo,Esparto,Esparto Unified School District,NaN,C
Calaveras,San Andreas,Calaveras Unified School District,NaN,C
Inyo,Big Pine,Big Pine Unified School District,NaN,C
Mendocino,Point Arena,Point Arena Joint Union High School District,NaN,C
Riverside,San Jacinto,San Jacinto Unified School District,NaN,C
Santa Barbara,New Cuyama,Cuyama Joint Unified School District,NaN,C
Stanislaus,Patterson,Patterson Joint Unified School District,NaN,C
San Bernardino,Victorville,Victor Valley Union High School District,NaN,C
Tulare,Woodlake,Woodlake Unified School District,NaN,C
Madera,Madera,Madera Unified School District,NaN,C
Contra Costa,Antioch,Antioch Unified School District,NaN,C
Fresno,Coalinga,Coalinga-Huron Unified School District,NaN,C
Glenn,Willows,Willows Unified School District,NaN,C
Ventura,Santa Paula,Santa Paula Unified School District,NaN,C
